2026-09-22T01:34:11.320Z  SERVER START v0.1 run=20260922-013411-5670 port=8080 pid=22128 root=/storage/emulated/0/Download/LivingGalaxy-AdAstrum-0.3.37
2026-09-22T01:34:25.951Z  127.0.0.1  GET 200  30635B  2.1ms  target=/  from=-
2026-09-22T01:34:26.020Z  127.0.0.1  GET 200  20625B  2.0ms  target=/css/glass.css  from=/
2026-09-22T01:34:26.020Z  127.0.0.1  GET 200  12445B  2.6ms  target=/css/comms.css  from=/
2026-09-22T01:34:26.021Z  127.0.0.1  GET 200  13823B  2.8ms  target=/css/console.css  from=/
2026-09-22T01:34:26.021Z  127.0.0.1  GET 200  5370B  2.4ms  target=/css/interior.css  from=/
2026-09-22T01:34:26.021Z  127.0.0.1  GET 200  89834B  3.7ms  target=/css/style.css  from=/
2026-09-22T01:34:26.025Z  127.0.0.1  GET 200  1467B  2.5ms  target=/js/main.js  from=/
2026-09-22T01:34:26.059Z  127.0.0.1  GET 200  50228B  1.6ms  target=/js/hud.js  from=/js/main.js
2026-09-22T01:34:26.060Z  127.0.0.1  GET 200  4580B  6.6ms  target=/js/store.js  from=/js/main.js
2026-09-22T01:34:26.060Z  127.0.0.1  GET 200  16313B  6.2ms  target=/js/bodies.js  from=/js/main.js
2026-09-22T01:34:26.061Z  127.0.0.1  GET 200  3868B  7.3ms  target=/js/audio.js  from=/js/main.js
2026-09-22T01:34:26.061Z  127.0.0.1  GET 200  138390B  7.2ms  target=/js/engine.js  from=/js/main.js
2026-09-22T01:34:26.063Z  127.0.0.1  GET 200  22204B  8.0ms  target=/js/crew/deckmind.js  from=/js/main.js
2026-09-22T01:34:26.069Z  127.0.0.1  GET 200  6044B  6.2ms  target=/js/boot.js  from=/js/main.js
2026-09-22T01:34:26.070Z  127.0.0.1  GET 200  1225B  7.1ms  target=/js/addon-loader.js  from=/js/main.js
2026-09-22T01:34:26.078Z  127.0.0.1  GET 200  12330B  0.9ms  target=/js/audio/graph.js  from=/js/audio.js
2026-09-22T01:34:26.084Z  127.0.0.1  GET 200  8325B  2.8ms  target=/js/audio/ambience.js  from=/js/audio.js
2026-09-22T01:34:26.084Z  127.0.0.1  GET 200  15180B  3.8ms  target=/js/audio/cues.js  from=/js/audio.js
2026-09-22T01:34:26.085Z  127.0.0.1  GET 200  14258B  1.3ms  target=/js/audio/voices.js  from=/js/audio.js
2026-09-22T01:34:26.086Z  127.0.0.1  GET 200  6493B  1.2ms  target=/js/scale.js  from=/js/bodies.js
2026-09-22T01:34:26.086Z  127.0.0.1  GET 200  11573B  1.1ms  target=/js/archetypes.js  from=/js/bodies.js
2026-09-22T01:34:26.090Z  127.0.0.1  GET 200  18854B  1.1ms  target=/js/materials.js  from=/js/bodies.js
2026-09-22T01:34:26.097Z  127.0.0.1  GET 200  12967B  1.4ms  target=/js/generate.js  from=/js/hud.js
2026-09-22T01:34:26.097Z  127.0.0.1  GET 200  6423B  1.7ms  target=/js/input.js  from=/js/hud.js
2026-09-22T01:34:26.097Z  127.0.0.1  GET 200  954B  2.0ms  target=/js/version.js  from=/js/hud.js
2026-09-22T01:34:26.098Z  127.0.0.1  GET 200  31425B  1.4ms  target=/js/stationdeck.js  from=/js/hud.js
2026-09-22T01:34:26.098Z  127.0.0.1  GET 200  18749B  1.9ms  target=/js/console/console.js  from=/js/hud.js
2026-09-22T01:34:26.099Z  127.0.0.1  GET 200  179646B  3.3ms  target=/js/sim.js  from=/js/hud.js
2026-09-22T01:34:26.103Z  127.0.0.1  GET 200  10170B  0.7ms  target=/js/ui/fullscreen.js  from=/js/hud.js
2026-09-22T01:34:26.104Z  127.0.0.1  GET 200  15964B  1.8ms  target=/js/recorder.js  from=/js/hud.js
2026-09-22T01:34:26.104Z  127.0.0.1  GET 200  25803B  2.2ms  target=/js/mission/run.js  from=/js/hud.js
2026-09-22T01:34:26.104Z  127.0.0.1  GET 200  6796B  2.9ms  target=/js/ui/dockboot.js  from=/js/hud.js
2026-09-22T01:34:26.105Z  127.0.0.1  GET 200  27410B  3.3ms  target=/js/turrets.js  from=/js/hud.js
2026-09-22T01:34:26.108Z  127.0.0.1  GET 200  10972B  0.5ms  target=/js/stations.js  from=/js/hud.js
2026-09-22T01:34:26.112Z  127.0.0.1  GET 200  6066B  0.5ms  target=/js/repair.js  from=/js/hud.js
2026-09-22T01:34:26.115Z  127.0.0.1  GET 200  12738B  0.8ms  target=/js/aria.js  from=/js/hud.js
2026-09-22T01:34:26.116Z  127.0.0.1  GET 200  29509B  2.0ms  target=/js/aria-pilot.js  from=/js/hud.js
2026-09-22T01:34:26.117Z  127.0.0.1  GET 200  45740B  2.4ms  target=/js/map.js  from=/js/hud.js
2026-09-22T01:34:26.117Z  127.0.0.1  GET 200  29926B  1.9ms  target=/js/ship.js  from=/js/hud.js
2026-09-22T01:34:26.118Z  127.0.0.1  GET 200  11727B  1.5ms  target=/js/net.js  from=/js/hud.js
2026-09-22T01:34:26.118Z  127.0.0.1  GET 200  24213B  1.5ms  target=/js/interior/interior.js  from=/js/hud.js
2026-09-22T01:34:26.119Z  127.0.0.1  GET 200  33251B  3.1ms  target=/js/comms/comms.js  from=/js/hud.js
2026-09-22T01:34:26.119Z  127.0.0.1  GET 200  14906B  3.8ms  target=/js/creation.js  from=/js/hud.js
2026-09-22T01:34:26.120Z  127.0.0.1  GET 200  28463B  1.3ms  target=/js/npc/captain.js  from=/js/hud.js
2026-09-22T01:34:26.120Z  127.0.0.1  GET 200  24473B  1.1ms  target=/js/npc/cradle.js  from=/js/hud.js
2026-09-22T01:34:26.121Z  127.0.0.1  GET 200  7411B  1.3ms  target=/js/icework.js  from=/js/hud.js
2026-09-22T01:34:26.122Z  127.0.0.1  GET 200  7408B  1.2ms  target=/js/atmoworks.js  from=/js/hud.js
2026-09-22T01:34:26.122Z  127.0.0.1  GET 200  45189B  0.9ms  target=/js/autopilot.js  from=/js/hud.js
2026-09-22T01:34:26.124Z  127.0.0.1  GET 200  29275B  1.4ms  target=/js/family.js  from=/js/hud.js
2026-09-22T01:34:26.125Z  127.0.0.1  GET 200  16460B  2.8ms  target=/js/company.js  from=/js/hud.js
2026-09-22T01:34:26.126Z  127.0.0.1  GET 200  50610B  2.3ms  target=/js/contracts.js  from=/js/hud.js
2026-09-22T01:34:26.126Z  127.0.0.1  GET 200  7014B  1.9ms  target=/js/npc/chat.js  from=/js/hud.js
2026-09-22T01:34:26.126Z  127.0.0.1  GET 200  7786B  1.6ms  target=/js/holdview.js  from=/js/hud.js
2026-09-22T01:34:26.127Z  127.0.0.1  GET 200  10096B  1.5ms  target=/js/fleet.js  from=/js/hud.js
2026-09-22T01:34:26.127Z  127.0.0.1  GET 200  17339B  0.8ms  target=/js/tutorial.js  from=/js/hud.js
2026-09-22T01:34:26.130Z  127.0.0.1  GET 200  9872B  1.3ms  target=/js/worldsync.js  from=/js/hud.js
2026-09-22T01:34:26.131Z  127.0.0.1  GET 200  14168B  2.6ms  target=/js/genome/behavior-graph.js  from=/js/crew/deckmind.js
2026-09-22T01:34:26.131Z  127.0.0.1  GET 200  8765B  2.7ms  target=/js/ui/chatbox.js  from=/js/hud.js
2026-09-22T01:34:26.131Z  127.0.0.1  GET 200  28156B  2.2ms  target=/js/crew/deckgraph.js  from=/js/crew/deckmind.js
2026-09-22T01:34:26.131Z  127.0.0.1  GET 200  25582B  1.9ms  target=/js/genome/spacer.js  from=/js/crew/deckmind.js
2026-09-22T01:34:26.132Z  127.0.0.1  GET 200  16807B  1.6ms  target=/js/crew.js  from=/js/crew/deckmind.js
2026-09-22T01:34:26.135Z  127.0.0.1  GET 200  5981B  2.2ms  target=/js/crew/bonds.js  from=/js/crew/deckmind.js
2026-09-22T01:34:26.135Z  127.0.0.1  GET 200  7489B  2.4ms  target=/js/crew/hull.js  from=/js/crew/deckmind.js
2026-09-22T01:34:26.135Z  127.0.0.1  GET 200  11098B  1.5ms  target=/js/crew/learn.js  from=/js/crew/deckmind.js
2026-09-22T01:34:26.135Z  127.0.0.1  GET 200  7389B  2.4ms  target=/js/crew/journal.js  from=/js/crew/deckmind.js
2026-09-22T01:34:26.136Z  127.0.0.1  GET 200  20474B  1.9ms  target=/js/crew/romance.js  from=/js/crew/deckmind.js
2026-09-22T01:34:26.137Z  127.0.0.1  GET 200  20507B  1.0ms  target=/js/crew/deckacts.js  from=/js/crew/deckmind.js
2026-09-22T01:34:26.137Z  127.0.0.1  GET 200  1912B  0.6ms  target=/js/crew/hooks.js  from=/js/addon-loader.js
2026-09-22T01:34:26.139Z  127.0.0.1  GET 200  11B  2.0ms  target=/js/controls-test.js  from=/js/engine.js
2026-09-22T01:34:26.141Z  127.0.0.1  GET 200  365552B  3.5ms  target=/vendor/three.module.min.js  from=/js/engine.js
2026-09-22T01:34:26.141Z  127.0.0.1  GET 200  20259B  1.4ms  target=/js/bodygen/body.js  from=/js/engine.js
2026-09-22T01:34:26.142Z  127.0.0.1  GET 200  20518B  2.4ms  target=/js/rockgen.js  from=/js/engine.js
2026-09-22T01:34:26.142Z  127.0.0.1  GET 200  16591B  4.0ms  target=/js/textures.js  from=/js/engine.js
2026-09-22T01:34:26.142Z  127.0.0.1  GET 200  8199B  1.9ms  target=/js/bodygen/classes.js  from=/js/engine.js
2026-09-22T01:34:26.147Z  127.0.0.1  GET 200  5235B  5.3ms  target=/js/bodygen/baked.js  from=/js/engine.js
2026-09-22T01:34:26.148Z  127.0.0.1  GET 200  5260B  1.5ms  target=/js/bodygen/grower.js  from=/js/engine.js
2026-09-22T01:34:26.149Z  127.0.0.1  GET 200  8969B  1.5ms  target=/js/rockfx.js  from=/js/engine.js
2026-09-22T01:34:26.149Z  127.0.0.1  GET 200  13157B  1.2ms  target=/js/impactfx.js  from=/js/engine.js
2026-09-22T01:34:26.151Z  127.0.0.1  GET 200  20481B  1.6ms  target=/js/holes.js  from=/js/engine.js
2026-09-22T01:34:26.151Z  127.0.0.1  GET 200  22174B  2.3ms  target=/js/holefx.js  from=/js/engine.js
