2026-09-23T22:23:10.890Z  SERVER START v0.1 run=20260923-222310-0c09 port=8080 pid=3081 root=/home/skrow/Desktop/LivingGalaxy-AdAstrum-0.3.43
2026-09-23T22:23:28.848Z  127.0.0.1  GET 200  30800B  9.5ms  target=/  from=-
2026-09-23T22:23:29.258Z  127.0.0.1  GET 200  90540B  0.7ms  target=/css/style.css  from=/
2026-09-23T22:23:29.259Z  127.0.0.1  GET 200  20625B  0.5ms  target=/css/glass.css  from=/
2026-09-23T22:23:29.262Z  127.0.0.1  GET 200  13823B  1.5ms  target=/css/console.css  from=/
2026-09-23T22:23:29.262Z  127.0.0.1  GET 200  12805B  0.4ms  target=/css/comms.css  from=/
2026-09-23T22:23:29.265Z  127.0.0.1  GET 200  5370B  0.5ms  target=/css/interior.css  from=/
2026-09-23T22:23:29.687Z  127.0.0.1  GET 200  2515B  0.6ms  target=/js/main.js  from=/
2026-09-23T22:23:29.740Z  127.0.0.1  GET 200  1225B  0.6ms  target=/js/addon-loader.js  from=/js/main.js
2026-09-23T22:23:29.749Z  127.0.0.1  GET 200  6044B  0.5ms  target=/js/boot.js  from=/js/main.js
2026-09-23T22:23:29.750Z  127.0.0.1  GET 200  25669B  0.4ms  target=/js/account.js  from=/js/main.js
2026-09-23T22:23:29.756Z  127.0.0.1  GET 200  5166B  0.6ms  target=/js/store.js  from=/js/main.js
2026-09-23T22:23:29.761Z  127.0.0.1  GET 200  3868B  0.7ms  target=/js/audio.js  from=/js/main.js
2026-09-23T22:23:29.772Z  127.0.0.1  GET 200  16313B  1.9ms  target=/js/bodies.js  from=/js/main.js
2026-09-23T22:23:29.774Z  127.0.0.1  GET 200  138390B  7.1ms  target=/js/engine.js  from=/js/main.js
2026-09-23T22:23:29.775Z  127.0.0.1  GET 200  58614B  6.5ms  target=/js/hud.js  from=/js/main.js
2026-09-23T22:23:29.778Z  127.0.0.1  GET 200  16667B  0.4ms  target=/js/company.js  from=/js/main.js
2026-09-23T22:23:29.782Z  127.0.0.1  GET 200  22204B  8.8ms  target=/js/crew/deckmind.js  from=/js/main.js
2026-09-23T22:23:29.791Z  127.0.0.1  GET 200  183636B  13.6ms  target=/js/sim.js  from=/js/main.js
2026-09-23T22:23:29.783Z  127.0.0.1  GET 200  15004B  3.9ms  target=/js/pilot.js  from=/js/main.js
2026-09-23T22:23:29.895Z  127.0.0.1  GET 200  1912B  0.5ms  target=/js/crew/hooks.js  from=/js/addon-loader.js
2026-09-23T22:23:29.930Z  127.0.0.1  GET 200  14258B  0.5ms  target=/js/audio/voices.js  from=/js/audio.js
2026-09-23T22:23:29.938Z  127.0.0.1  GET 200  8325B  6.3ms  target=/js/audio/ambience.js  from=/js/audio.js
2026-09-23T22:23:29.958Z  127.0.0.1  GET 200  12330B  0.5ms  target=/js/audio/graph.js  from=/js/audio.js
2026-09-23T22:23:29.955Z  127.0.0.1  GET 200  954B  20.3ms  target=/js/version.js  from=/js/boot.js
2026-09-23T22:23:29.954Z  127.0.0.1  GET 200  15180B  0.5ms  target=/js/audio/cues.js  from=/js/audio.js
2026-09-23T22:23:29.984Z  127.0.0.1  GET 200  9315B  0.5ms  target=/js/profile.js  from=/js/account.js
2026-09-23T22:23:30.000Z  127.0.0.1  GET 200  20518B  0.5ms  target=/js/rockgen.js  from=/js/engine.js
2026-09-23T22:23:30.040Z  127.0.0.1  GET 200  20259B  3.3ms  target=/js/bodygen/body.js  from=/js/engine.js
2026-09-23T22:23:30.068Z  127.0.0.1  GET 200  8199B  3.1ms  target=/js/bodygen/classes.js  from=/js/engine.js
2026-09-23T22:23:30.095Z  127.0.0.1  GET 200  5235B  2.6ms  target=/js/bodygen/baked.js  from=/js/engine.js
2026-09-23T22:23:30.100Z  127.0.0.1  GET 200  8969B  0.6ms  target=/js/rockfx.js  from=/js/engine.js
2026-09-23T22:23:30.105Z  127.0.0.1  GET 200  5260B  8.5ms  target=/js/bodygen/grower.js  from=/js/engine.js
2026-09-23T22:23:30.110Z  127.0.0.1  GET 200  13157B  3.5ms  target=/js/impactfx.js  from=/js/engine.js
2026-09-23T22:23:30.110Z  127.0.0.1  GET 200  22174B  3.7ms  target=/js/holefx.js  from=/js/engine.js
2026-09-23T22:23:30.111Z  127.0.0.1  GET 200  20481B  0.4ms  target=/js/holes.js  from=/js/engine.js
2026-09-23T22:23:30.120Z  127.0.0.1  GET 200  22249B  0.5ms  target=/js/attract.js  from=/js/engine.js
2026-09-23T22:23:30.139Z  127.0.0.1  GET 200  2430B  0.6ms  target=/js/gnn.js  from=/js/account.js
2026-09-23T22:23:30.196Z  127.0.0.1  GET 200  6493B  0.5ms  target=/js/scale.js  from=/js/bodies.js
2026-09-23T22:23:30.205Z  127.0.0.1  GET 200  11573B  0.6ms  target=/js/archetypes.js  from=/js/bodies.js
2026-09-23T22:23:30.209Z  127.0.0.1  GET 200  18854B  0.6ms  target=/js/materials.js  from=/js/bodies.js
2026-09-23T22:23:30.229Z  127.0.0.1  GET 200  365552B  2.1ms  target=/vendor/three.module.min.js  from=/js/engine.js
2026-09-23T22:23:30.233Z  127.0.0.1  GET 200  11B  2.6ms  target=/js/controls-test.js  from=/js/engine.js
2026-09-23T22:23:30.248Z  127.0.0.1  GET 200  16591B  0.6ms  target=/js/textures.js  from=/js/engine.js
2026-09-23T22:23:30.310Z  127.0.0.1  GET 200  5783B  1.7ms  target=/js/perf.js  from=/js/engine.js
2026-09-23T22:23:30.312Z  127.0.0.1  GET 200  18116B  1.4ms  target=/js/contacts.js  from=/js/engine.js
2026-09-23T22:23:30.316Z  127.0.0.1  GET 200  14423B  0.6ms  target=/js/postfx.js  from=/js/engine.js
2026-09-23T22:23:30.326Z  127.0.0.1  GET 200  13050B  4.8ms  target=/js/warpfx.js  from=/js/engine.js
2026-09-23T22:23:30.365Z  127.0.0.1  GET 200  6423B  0.5ms  target=/js/input.js  from=/js/engine.js
2026-09-23T22:23:30.365Z  127.0.0.1  GET 200  29926B  0.3ms  target=/js/ship.js  from=/js/engine.js
2026-09-23T22:23:30.375Z  127.0.0.1  GET 200  9086B  0.5ms  target=/js/droneforge.js  from=/js/engine.js
2026-09-23T22:23:30.375Z  127.0.0.1  GET 200  10881B  4.5ms  target=/js/shipforge.js  from=/js/engine.js
2026-09-23T22:23:30.381Z  127.0.0.1  GET 200  49797B  0.6ms  target=/js/drones/ops.js  from=/js/engine.js
2026-09-23T22:23:30.392Z  127.0.0.1  GET 200  12738B  0.4ms  target=/js/aria.js  from=/js/engine.js
2026-09-23T22:23:30.387Z  127.0.0.1  GET 200  7495B  8.7ms  target=/js/probes.js  from=/js/engine.js
2026-09-23T22:23:30.400Z  127.0.0.1  GET 200  27410B  4.4ms  target=/js/turrets.js  from=/js/engine.js
2026-09-23T22:23:30.400Z  127.0.0.1  GET 200  15964B  0.3ms  target=/js/recorder.js  from=/js/hud.js
2026-09-23T22:23:30.383Z  127.0.0.1  GET 200  9727B  0.5ms  target=/js/drones/npcdrones.js  from=/js/engine.js
2026-09-23T22:23:30.392Z  127.0.0.1  GET 200  37668B  8.6ms  target=/js/shipdb.js  from=/js/engine.js
2026-09-23T22:23:30.393Z  127.0.0.1  GET 200  15185B  0.5ms  target=/js/field.js  from=/js/engine.js
2026-09-23T22:23:30.405Z  127.0.0.1  GET 200  10170B  4.1ms  target=/js/ui/fullscreen.js  from=/js/hud.js
2026-09-23T22:23:30.407Z  127.0.0.1  GET 200  6796B  0.8ms  target=/js/ui/dockboot.js  from=/js/hud.js
2026-09-23T22:23:30.408Z  127.0.0.1  GET 200  6066B  0.4ms  target=/js/repair.js  from=/js/hud.js
2026-09-23T22:23:30.420Z  127.0.0.1  GET 200  29509B  10.5ms  target=/js/aria-pilot.js  from=/js/hud.js
2026-09-23T22:23:30.429Z  127.0.0.1  GET 200  7014B  0.6ms  target=/js/npc/chat.js  from=/js/hud.js
2026-09-23T22:23:30.439Z  127.0.0.1  GET 200  9484B  0.6ms  target=/js/npc/lanes.js  from=/js/engine.js
2026-09-23T22:23:30.442Z  127.0.0.1  GET 200  11590B  0.8ms  target=/js/stationyard.js  from=/js/engine.js
2026-09-23T22:23:30.444Z  127.0.0.1  GET 200  26065B  1.1ms  target=/js/stationworks.js  from=/js/engine.js
2026-09-23T22:23:30.477Z  127.0.0.1  GET 200  7786B  2.6ms  target=/js/holdview.js  from=/js/hud.js
2026-09-23T22:23:30.495Z  127.0.0.1  GET 200  19807B  0.5ms  target=/js/stationlife.js  from=/js/company.js
2026-09-23T22:23:30.524Z  127.0.0.1  GET 200  18820B  0.3ms  target=/js/impacts.js  from=/js/sim.js
2026-09-23T22:23:30.534Z  127.0.0.1  GET 200  4015B  0.5ms  target=/js/hullpool.js  from=/js/engine.js
2026-09-23T22:23:30.530Z  127.0.0.1  GET 200  14435B  7.2ms  target=/js/fabricate.js  from=/js/sim.js
2026-09-23T22:23:30.539Z  127.0.0.1  GET 200  10402B  0.5ms  target=/js/npc/flow.js  from=/js/engine.js
2026-09-23T22:23:30.545Z  127.0.0.1  GET 200  9872B  0.4ms  target=/js/worldsync.js  from=/js/engine.js
2026-09-23T22:23:30.540Z  127.0.0.1  GET 200  11793B  12.7ms  target=/js/stationgen/anim.js  from=/js/engine.js
2026-09-23T22:23:30.553Z  127.0.0.1  GET 200  9232B  0.5ms  target=/js/insurance.js  from=/js/sim.js
2026-09-23T22:23:30.543Z  127.0.0.1  GET 200  56497B  0.4ms  target=/js/npc/traffic.js  from=/js/engine.js
2026-09-23T22:23:30.541Z  127.0.0.1  GET 200  4443B  0.5ms  target=/js/dockwork.js  from=/js/sim.js
2026-09-23T22:23:30.550Z  127.0.0.1  GET 200  6948B  0.4ms  target=/js/defence.js  from=/js/sim.js
2026-09-23T22:23:30.543Z  127.0.0.1  GET 200  14222B  0.4ms  target=/js/npc/battles.js  from=/js/engine.js
2026-09-23T22:23:30.558Z  127.0.0.1  GET 200  18284B  0.5ms  target=/js/npc/security.js  from=/js/sim.js
2026-09-23T22:23:30.559Z  127.0.0.1  GET 200  18525B  0.3ms  target=/js/npc/combat.js  from=/js/sim.js
2026-09-23T22:23:30.567Z  127.0.0.1  GET 200  20388B  0.6ms  target=/js/npc/rogues.js  from=/js/sim.js
2026-09-23T22:23:30.573Z  127.0.0.1  GET 200  17495B  4.6ms  target=/js/avoid.js  from=/js/sim.js
2026-09-23T22:23:30.579Z  127.0.0.1  GET 200  7600B  4.1ms  target=/js/debris.js  from=/js/engine.js
2026-09-23T22:23:30.595Z  127.0.0.1  GET 200  13840B  0.6ms  target=/js/cataclysm.js  from=/js/engine.js
2026-09-23T22:23:30.603Z  127.0.0.1  GET 200  12628B  2.8ms  target=/js/impactors.js  from=/js/engine.js
2026-09-23T22:23:30.604Z  127.0.0.1  GET 200  10972B  4.4ms  target=/js/stations.js  from=/js/engine.js
2026-09-23T22:23:30.605Z  127.0.0.1  GET 200  17339B  2.7ms  target=/js/tutorial.js  from=/js/engine.js
2026-09-23T22:23:30.619Z  127.0.0.1  GET 200  12967B  4.8ms  target=/js/generate.js  from=/js/hud.js
2026-09-23T22:23:30.631Z  127.0.0.1  GET 200  18749B  5.4ms  target=/js/console/console.js  from=/js/hud.js
2026-09-23T22:23:30.635Z  127.0.0.1  GET 200  31583B  8.4ms  target=/js/stationdeck.js  from=/js/hud.js
2026-09-23T22:23:30.645Z  127.0.0.1  GET 200  25803B  0.5ms  target=/js/mission/run.js  from=/js/hud.js
2026-09-23T22:23:30.660Z  127.0.0.1  GET 200  45740B  4.4ms  target=/js/map.js  from=/js/hud.js
2026-09-23T22:23:30.669Z  127.0.0.1  GET 200  24213B  0.5ms  target=/js/interior/interior.js  from=/js/hud.js
2026-09-23T22:23:30.670Z  127.0.0.1  GET 200  33251B  5.9ms  target=/js/comms/comms.js  from=/js/hud.js
2026-09-23T22:23:30.678Z  127.0.0.1  GET 200  14906B  10.4ms  target=/js/creation.js  from=/js/hud.js
2026-09-23T22:23:30.681Z  127.0.0.1  GET 200  24473B  0.6ms  target=/js/npc/cradle.js  from=/js/hud.js
2026-09-23T22:23:30.688Z  127.0.0.1  GET 200  50610B  0.5ms  target=/js/contracts.js  from=/js/hud.js
2026-09-23T22:23:30.689Z  127.0.0.1  GET 200  11727B  23.7ms  target=/js/net.js  from=/js/hud.js
2026-09-23T22:23:30.694Z  127.0.0.1  GET 200  7411B  1.8ms  target=/js/icework.js  from=/js/hud.js
2026-09-23T22:23:30.698Z  127.0.0.1  GET 200  7408B  0.5ms  target=/js/atmoworks.js  from=/js/hud.js
2026-09-23T22:23:30.705Z  127.0.0.1  GET 200  28463B  0.6ms  target=/js/npc/captain.js  from=/js/hud.js
2026-09-23T22:23:30.717Z  127.0.0.1  GET 200  10096B  11.0ms  target=/js/fleet.js  from=/js/hud.js
2026-09-23T22:23:30.717Z  127.0.0.1  GET 200  29275B  18.3ms  target=/js/family.js  from=/js/hud.js
2026-09-23T22:23:30.718Z  127.0.0.1  GET 200  45189B  14.2ms  target=/js/autopilot.js  from=/js/hud.js
2026-09-23T22:23:30.722Z  127.0.0.1  GET 200  8765B  0.4ms  target=/js/ui/chatbox.js  from=/js/hud.js
2026-09-23T22:23:30.743Z  127.0.0.1  GET 200  16807B  8.7ms  target=/js/crew.js  from=/js/company.js
2026-09-23T22:23:30.743Z  127.0.0.1  GET 200  13768B  0.3ms  target=/js/corps.js  from=/js/company.js
2026-09-23T22:23:30.758Z  127.0.0.1  GET 200  28156B  10.8ms  target=/js/crew/deckgraph.js  from=/js/crew/deckmind.js
2026-09-23T22:23:30.759Z  127.0.0.1  GET 200  14168B  22.3ms  target=/js/genome/behavior-graph.js  from=/js/crew/deckmind.js
2026-09-23T22:23:30.771Z  127.0.0.1  GET 200  5981B  0.6ms  target=/js/crew/bonds.js  from=/js/crew/deckmind.js
2026-09-23T22:23:30.785Z  127.0.0.1  GET 200  7389B  0.5ms  target=/js/crew/journal.js  from=/js/crew/deckmind.js
2026-09-23T22:23:30.785Z  127.0.0.1  GET 200  25582B  23.3ms  target=/js/genome/spacer.js  from=/js/crew/deckmind.js
2026-09-23T22:23:30.786Z  127.0.0.1  GET 200  11098B  9.9ms  target=/js/crew/learn.js  from=/js/crew/deckmind.js
2026-09-23T22:23:30.787Z  127.0.0.1  GET 200  7489B  5.4ms  target=/js/crew/hull.js  from=/js/crew/deckmind.js
2026-09-23T22:23:30.791Z  127.0.0.1  GET 200  20474B  3.4ms  target=/js/crew/romance.js  from=/js/crew/deckmind.js
2026-09-23T22:23:30.798Z  127.0.0.1  GET 200  20507B  6.3ms  target=/js/crew/deckacts.js  from=/js/crew/deckmind.js
2026-09-23T22:23:30.802Z  127.0.0.1  GET 200  6357B  0.4ms  target=/js/careers/effects.js  from=/js/pilot.js
2026-09-23T22:23:30.805Z  127.0.0.1  GET 200  10678B  0.5ms  target=/js/races.js  from=/js/pilot.js
2026-09-23T22:23:30.807Z  127.0.0.1  GET 200  689B  12.8ms  target=/js/careers/index.js  from=/js/pilot.js
2026-09-23T22:23:30.808Z  127.0.0.1  GET 200  39597B  0.5ms  target=/js/asteroidgen/generator.js  from=/js/bodygen/body.js
2026-09-23T22:23:30.826Z  127.0.0.1  GET 200  2543B  7.8ms  target=/js/chat.js  from=/js/sim.js
2026-09-23T22:23:30.817Z  127.0.0.1  GET 200  6378B  1.0ms  target=/js/bodygen/bake.js  from=/js/bodygen/body.js
2026-09-23T22:23:30.835Z  127.0.0.1  GET 200  17709B  0.4ms  target=/js/economy.js  from=/js/sim.js
2026-09-23T22:23:30.838Z  127.0.0.1  GET 200  9118B  6.8ms  target=/js/shipcost.js  from=/js/sim.js
2026-09-23T22:23:30.839Z  127.0.0.1  GET 200  3433B  1.1ms  target=/js/drones/board.js  from=/js/sim.js
2026-09-23T22:23:30.843Z  127.0.0.1  GET 200  11095B  5.8ms  target=/js/crew/robots.js  from=/js/sim.js
2026-09-23T22:23:30.848Z  127.0.0.1  GET 200  19648B  2.6ms  target=/js/upgrades.js  from=/js/sim.js
2026-09-23T22:23:30.857Z  127.0.0.1  GET 200  5660B  12.9ms  target=/js/npc/crewfx.js  from=/js/sim.js
2026-09-23T22:23:30.866Z  127.0.0.1  GET 200  7546B  6.1ms  target=/js/interior/boarding.js  from=/js/sim.js
2026-09-23T22:23:30.873Z  127.0.0.1  GET 200  6420B  1.5ms  target=/js/asteroidgen/impact-shaders.js  from=/js/impactfx.js
2026-09-23T22:23:30.875Z  127.0.0.1  GET 200  4084B  0.4ms  target=/js/bodygen/gl.js  from=/js/rockfx.js
2026-09-23T22:23:30.880Z  127.0.0.1  GET 200  11316B  12.1ms  target=/js/asteroidgen/kerr.js  from=/js/holes.js
2026-09-23T22:23:30.881Z  127.0.0.1  GET 200  48552B  27.8ms  target=/js/asteroidgen/debris.js  from=/js/rockfx.js
2026-09-23T22:23:30.883Z  127.0.0.1  GET 200  4351B  0.4ms  target=/js/asteroidgen/rng.js  from=/js/impactfx.js
2026-09-23T22:23:30.885Z  127.0.0.1  GET 200  21948B  0.4ms  target=/js/asteroidgen/blackhole.js  from=/js/holefx.js
2026-09-23T22:23:30.886Z  127.0.0.1  GET 200  31150B  7.1ms  target=/js/asteroidgen/fracture.js  from=/js/impactfx.js
2026-09-23T22:23:30.889Z  127.0.0.1  GET 200  21434B  0.5ms  target=/js/asteroidgen/tidal.js  from=/js/holefx.js
2026-09-23T22:23:30.891Z  127.0.0.1  GET 200  25146B  0.4ms  target=/js/asteroidgen/impact-sim.js  from=/js/impactfx.js
2026-09-23T22:23:31.039Z  127.0.0.1  GET 200  8533B  0.5ms  target=/js/npc/bay.js  from=/js/drones/npcdrones.js
2026-09-23T22:23:31.045Z  127.0.0.1  GET 200  9565B  1.5ms  target=/js/sites.js  from=/js/field.js
2026-09-23T22:23:31.127Z  127.0.0.1  GET 200  13333B  0.5ms  target=/js/asteroidgen/impact.js  from=/js/impacts.js
2026-09-23T22:23:31.129Z  127.0.0.1  GET 200  25305B  0.4ms  target=/js/names.js  from=/js/stationlife.js
2026-09-23T22:23:31.147Z  127.0.0.1  GET 200  15307B  1.4ms  target=/js/npc/flight.js  from=/js/npc/traffic.js
2026-09-23T22:23:31.159Z  127.0.0.1  GET 200  8604B  0.5ms  target=/js/tutorial-core.js  from=/js/tutorial.js
2026-09-23T22:23:31.162Z  127.0.0.1  GET 200  7203B  0.4ms  target=/js/naming.js  from=/js/stations.js
2026-09-23T22:23:31.164Z  127.0.0.1  GET 200  61015B  0.8ms  target=/js/robotgen/build.js  from=/js/droneforge.js
2026-09-23T22:23:31.169Z  127.0.0.1  GET 200  3366B  0.5ms  target=/js/dronespec.js  from=/js/droneforge.js
2026-09-23T22:23:31.171Z  127.0.0.1  GET 200  385386B  0.6ms  target=/vendor/three.core.min.js  from=/vendor/three.module.min.js
2026-09-23T22:23:31.178Z  127.0.0.1  GET 200  6861B  6.1ms  target=/js/shipgen/generate.js  from=/js/shipforge.js
2026-09-23T22:23:31.179Z  127.0.0.1  GET 200  4998B  6.2ms  target=/js/shipgen/anim.js  from=/js/shipforge.js
2026-09-23T22:23:31.180Z  127.0.0.1  GET 200  14723B  0.5ms  target=/js/hullspec.js  from=/js/shipforge.js
2026-09-23T22:23:31.183Z  127.0.0.1  GET 200  6777B  0.5ms  target=/js/drones/roles.js  from=/js/drones/npcdrones.js
2026-09-23T22:23:31.204Z  127.0.0.1  GET 200  7674B  0.8ms  target=/js/boardview.js  from=/js/stationdeck.js
2026-09-23T22:23:31.205Z  127.0.0.1  GET 200  3121B  0.3ms  target=/js/ui/coverage.js  from=/js/stationdeck.js
2026-09-23T22:23:31.207Z  127.0.0.1  GET 200  5249B  0.4ms  target=/js/deckworks.js  from=/js/stationdeck.js
2026-09-23T22:23:31.211Z  127.0.0.1  GET 200  5628B  0.5ms  target=/js/mission/tradeops.js  from=/js/mission/run.js
2026-09-23T22:23:31.219Z  127.0.0.1  GET 200  15242B  0.5ms  target=/js/npc/reports.js  from=/js/comms/comms.js
2026-09-23T22:23:31.230Z  127.0.0.1  GET 200  18683B  1.8ms  target=/js/data/lexicons.js  from=/js/npc/cradle.js
2026-09-23T22:23:31.231Z  127.0.0.1  GET 200  8391B  0.4ms  target=/js/chains.js  from=/js/contracts.js
2026-09-23T22:23:31.243Z  127.0.0.1  GET 200  10739B  2.1ms  target=/js/crew/children.js  from=/js/family.js
2026-09-23T22:23:31.247Z  127.0.0.1  GET 200  1588B  2.4ms  target=/js/crew/voice.js  from=/js/family.js
2026-09-23T22:23:31.258Z  127.0.0.1  GET 200  17786B  0.5ms  target=/js/mission/script.js  from=/js/aria-pilot.js
2026-09-23T22:23:31.275Z  127.0.0.1  GET 200  1265B  6.3ms  target=/js/stationgen/index.js  from=/js/stationyard.js
2026-09-23T22:23:31.285Z  127.0.0.1  GET 200  74142B  14.5ms  target=/js/careers/complexes.js  from=/js/stationlife.js
2026-09-23T22:23:31.286Z  127.0.0.1  GET 200  3538B  0.4ms  target=/js/console/search.js  from=/js/console/console.js
2026-09-23T22:23:31.289Z  127.0.0.1  GET 200  5926B  0.6ms  target=/js/console/kit.js  from=/js/console/console.js
2026-09-23T22:23:31.301Z  127.0.0.1  GET 200  23069B  7.6ms  target=/js/console/panels/nav.js  from=/js/console/console.js
2026-09-23T22:23:31.311Z  127.0.0.1  GET 200  23427B  1.6ms  target=/js/console/panels/ship.js  from=/js/console/console.js
2026-09-23T22:23:31.331Z  127.0.0.1  GET 200  7149B  0.5ms  target=/js/ui/glyphs.js  from=/js/stationdeck.js
2026-09-23T22:23:31.314Z  127.0.0.1  GET 200  23281B  7.8ms  target=/js/console/panels/work.js  from=/js/console/console.js
