2026-09-25T07:09:17.802Z  SERVER START v0.1 run=20260925-070917-4c2e port=8080 pid=19502 root=/storage/emulated/0/download/LivingGalaxy-AdAstrum-0.3.46
2026-09-25T07:09:32.448Z  127.0.0.1  GET 304  -B  1.4ms  target=/  from=-
2026-09-25T07:09:32.482Z  127.0.0.1  GET 304  -B  1.1ms  target=/css/glass.css  from=/
2026-09-25T07:09:32.482Z  127.0.0.1  GET 304  -B  1.5ms  target=/css/style.css  from=/
2026-09-25T07:09:32.485Z  127.0.0.1  GET 304  -B  1.7ms  target=/css/comms.css  from=/
2026-09-25T07:09:32.485Z  127.0.0.1  GET 200  14392B  2.9ms  target=/css/console.css  from=/
2026-09-25T07:09:32.487Z  127.0.0.1  GET 304  -B  0.9ms  target=/css/interior.css  from=/
2026-09-25T07:09:32.487Z  127.0.0.1  GET 304  -B  0.5ms  target=/js/main.js  from=/
2026-09-25T07:09:32.504Z  127.0.0.1  GET 304  -B  1.2ms  target=/js/store.js  from=/js/main.js
2026-09-25T07:09:32.504Z  127.0.0.1  GET 304  -B  1.4ms  target=/js/audio.js  from=/js/main.js
2026-09-25T07:09:32.505Z  127.0.0.1  GET 304  -B  1.5ms  target=/js/bodies.js  from=/js/main.js
2026-09-25T07:09:32.505Z  127.0.0.1  GET 304  -B  1.3ms  target=/js/engine.js  from=/js/main.js
2026-09-25T07:09:32.505Z  127.0.0.1  GET 304  -B  1.8ms  target=/js/crew/deckmind.js  from=/js/main.js
2026-09-25T07:09:32.505Z  127.0.0.1  GET 304  -B  2.1ms  target=/js/hud.js  from=/js/main.js
2026-09-25T07:09:32.511Z  127.0.0.1  GET 304  -B  1.5ms  target=/js/boot.js  from=/js/main.js
2026-09-25T07:09:32.511Z  127.0.0.1  GET 304  -B  1.1ms  target=/js/sim.js  from=/js/main.js
2026-09-25T07:09:32.511Z  127.0.0.1  GET 304  -B  1.9ms  target=/js/account.js  from=/js/main.js
2026-09-25T07:09:32.512Z  127.0.0.1  GET 304  -B  2.7ms  target=/js/addon-loader.js  from=/js/main.js
2026-09-25T07:09:32.512Z  127.0.0.1  GET 200  18183B  2.2ms  target=/js/company.js  from=/js/main.js
2026-09-25T07:09:32.512Z  127.0.0.1  GET 304  -B  1.7ms  target=/js/pilot.js  from=/js/main.js
2026-09-25T07:09:32.543Z  127.0.0.1  GET 304  -B  1.9ms  target=/js/audio/cues.js  from=/js/audio.js
