2026-09-25T08:03:22.765Z  SERVER START v0.1 run=20260925-080322-2557 port=8080 pid=9559 root=/storage/emulated/0/download/LivingGalaxy-AdAstrum-0.3.48
2026-09-25T08:03:25.844Z  127.0.0.1  GET 304  -B  1.4ms  target=/js/bodygen/worker.js  from=/
2026-09-25T08:03:26.601Z  127.0.0.1  GET 200  20259B  0.9ms  target=/js/bodygen/body.js  from=/js/bodygen/worker.js
2026-09-25T08:03:26.606Z  127.0.0.1  GET 200  39597B  1.1ms  target=/js/asteroidgen/generator.js  from=/js/bodygen/worker.js
2026-09-25T08:03:26.609Z  127.0.0.1  GET 200  2751B  0.7ms  target=/js/asteroidgen/ores.js  from=/js/bodygen/worker.js
2026-09-25T08:03:26.611Z  127.0.0.1  GET 200  20915B  0.7ms  target=/js/materials.js  from=/js/bodygen/worker.js
2026-09-25T08:03:26.614Z  127.0.0.1  GET 200  20518B  0.5ms  target=/js/rockgen.js  from=/js/bodygen/worker.js
2026-09-25T08:03:26.616Z  127.0.0.1  GET 200  8199B  0.6ms  target=/js/bodygen/classes.js  from=/js/bodygen/worker.js
2026-09-25T08:03:26.619Z  127.0.0.1  GET 200  4351B  0.5ms  target=/js/asteroidgen/rng.js  from=/js/bodygen/worker.js
2026-09-25T08:03:26.621Z  127.0.0.1  GET 200  48552B  0.5ms  target=/js/asteroidgen/debris.js  from=/js/bodygen/worker.js
2026-09-25T08:03:26.625Z  127.0.0.1  GET 200  6378B  0.6ms  target=/js/bodygen/bake.js  from=/js/bodygen/worker.js
2026-09-25T08:03:26.634Z  127.0.0.1  GET 200  365552B  0.9ms  target=/vendor/three.module.min.js  from=-
2026-09-25T08:03:26.643Z  127.0.0.1  GET 200  385386B  1.1ms  target=/vendor/three.core.min.js  from=/vendor/three.module.min.js
2026-09-25T08:03:26.655Z  127.0.0.1  GET 200  727B  5.0ms  target=/manifest.webmanifest  from=/
2026-09-25T08:03:26.775Z  127.0.0.1  GET 200  3165B  1.1ms  target=/addon/adult/scenes.js  from=/addon/adult/index.js
2026-09-25T08:03:26.775Z  127.0.0.1  GET 200  1203B  1.1ms  target=/addon/adult/voice.js  from=/addon/adult/index.js
2026-09-25T08:03:26.775Z  127.0.0.1  GET 200  2338B  1.6ms  target=/addon/adult/legacy-addon.js  from=/addon/adult/index.js
2026-09-25T08:03:26.775Z  127.0.0.1  GET 200  13294B  1.2ms  target=/addon/adult/trees.js  from=/addon/adult/index.js
2026-09-25T08:03:26.818Z  127.0.0.1  GET 200  47337B  1.1ms  target=/icons/maskable-512.png  from=/
2026-09-25T08:03:27.143Z  127.0.0.1  GET 200  21951B  0.9ms  target=/addon/adult/legacy.js  from=/addon/adult/legacy-addon.js
2026-09-25T08:03:27.143Z  127.0.0.1  GET 200  162862B  1.2ms  target=/addon/adult/voice-bank.js  from=/addon/adult/voice.js
2026-09-25T08:03:33.971Z  127.0.0.1  GET 200  163742B  3.7ms  target=/cradle/all  from=/
2026-09-25T08:03:34.329Z  127.0.0.1  POST 200  22B  0.7ms  target=/net/send  from=/
2026-09-25T08:03:34.470Z  127.0.0.1  POST 200  22B  0.3ms  target=/net/send  from=/
2026-09-25T08:03:34.678Z  127.0.0.1  POST 200  22B  0.3ms  target=/net/send  from=/
2026-09-25T08:03:34.880Z  127.0.0.1  POST 200  22B  0.2ms  target=/net/send  from=/
2026-09-25T08:03:35.129Z  127.0.0.1  POST 200  22B  0.3ms  target=/net/send  from=/
2026-09-25T08:03:35.395Z  127.0.0.1  POST 200  22B  0.3ms  target=/net/send  from=/
2026-09-25T08:03:35.645Z  127.0.0.1  POST 200  22B  0.3ms  target=/net/send  from=/
2026-09-25T08:03:35.862Z  127.0.0.1  POST 200  22B  0.6ms  target=/net/send  from=/
2026-09-25T08:03:35.866Z  127.0.0.1  POST 200  12B  0.3ms  target=/cradle/put  from=/
2026-09-25T08:03:35.878Z  127.0.0.1  POST 200  12B  2.2ms  target=/cradle/put  from=/
2026-09-25T08:03:35.878Z  127.0.0.1  POST 200  12B  1.5ms  target=/cradle/put  from=/
2026-09-25T08:03:35.878Z  127.0.0.1  POST 200  12B  1.9ms  target=/cradle/put  from=/
2026-09-25T08:03:35.878Z  127.0.0.1  POST 200  12B  2.1ms  target=/cradle/put  from=/
2026-09-25T08:03:35.879Z  127.0.0.1  POST 200  12B  3.1ms  target=/cradle/put  from=/
2026-09-25T08:03:35.879Z  127.0.0.1  POST 200  12B  0.7ms  target=/cradle/put  from=/
2026-09-25T08:03:35.884Z  127.0.0.1  POST 200  12B  1.9ms  target=/cradle/put  from=/
2026-09-25T08:03:35.884Z  127.0.0.1  POST 200  12B  2.8ms  target=/cradle/put  from=/
2026-09-25T08:03:35.885Z  127.0.0.1  POST 200  12B  2.3ms  target=/cradle/put  from=/
2026-09-25T08:03:35.885Z  127.0.0.1  POST 200  12B  1.3ms  target=/cradle/put  from=/
2026-09-25T08:03:35.885Z  127.0.0.1  POST 200  12B  1.6ms  target=/cradle/put  from=/
2026-09-25T08:03:35.885Z  127.0.0.1  POST 200  12B  2.0ms  target=/cradle/put  from=/
2026-09-25T08:03:35.890Z  127.0.0.1  POST 200  12B  1.4ms  target=/cradle/put  from=/
2026-09-25T08:03:35.891Z  127.0.0.1  POST 200  12B  0.2ms  target=/cradle/put  from=/
2026-09-25T08:03:35.891Z  127.0.0.1  POST 200  12B  1.1ms  target=/cradle/put  from=/
2026-09-25T08:03:35.891Z  127.0.0.1  POST 200  12B  0.2ms  target=/cradle/put  from=/
2026-09-25T08:03:35.891Z  127.0.0.1  POST 200  12B  0.5ms  target=/cradle/put  from=/
