2026-09-25T14:55:29.839Z  SERVER START v0.1 run=20260925-145529-39a7 port=8080 pid=14759 root=/storage/emulated/0/download/LivingGalaxy-AdAstrum-0.3.50
2026-09-25T15:07:00.280Z  127.0.0.1  GET 200  30739B  3.1ms  target=/  from=-
2026-09-25T15:07:00.380Z  127.0.0.1  GET 200  91625B  2.0ms  target=/css/style.css  from=/
2026-09-25T15:07:00.380Z  127.0.0.1  GET 200  25975B  1.5ms  target=/css/glass.css  from=/
2026-09-25T15:07:00.383Z  127.0.0.1  GET 200  2515B  1.7ms  target=/js/main.js  from=/
2026-09-25T15:07:00.383Z  127.0.0.1  GET 200  5370B  2.8ms  target=/css/interior.css  from=/
2026-09-25T15:07:00.383Z  127.0.0.1  GET 200  12805B  2.7ms  target=/css/comms.css  from=/
2026-09-25T15:07:00.384Z  127.0.0.1  GET 200  14392B  3.3ms  target=/css/console.css  from=/
2026-09-25T15:07:00.393Z  127.0.0.1  GET 200  5166B  1.8ms  target=/js/store.js  from=/js/main.js
2026-09-25T15:07:00.394Z  127.0.0.1  GET 200  62866B  1.5ms  target=/js/hud.js  from=/js/main.js
2026-09-25T15:07:00.394Z  127.0.0.1  GET 200  16313B  1.9ms  target=/js/bodies.js  from=/js/main.js
2026-09-25T15:07:00.394Z  127.0.0.1  GET 200  3868B  2.3ms  target=/js/audio.js  from=/js/main.js
2026-09-25T15:07:00.394Z  127.0.0.1  GET 200  22204B  1.8ms  target=/js/crew/deckmind.js  from=/js/main.js
2026-09-25T15:07:00.394Z  127.0.0.1  GET 200  138390B  2.0ms  target=/js/engine.js  from=/js/main.js
2026-09-25T15:07:00.400Z  127.0.0.1  GET 200  25669B  1.5ms  target=/js/account.js  from=/js/main.js
2026-09-25T15:07:00.400Z  127.0.0.1  GET 200  6044B  2.1ms  target=/js/boot.js  from=/js/main.js
2026-09-25T15:07:00.401Z  127.0.0.1  GET 200  1225B  3.0ms  target=/js/addon-loader.js  from=/js/main.js
2026-09-25T15:07:00.401Z  127.0.0.1  GET 200  18987B  2.5ms  target=/js/company.js  from=/js/main.js
2026-09-25T15:07:00.401Z  127.0.0.1  GET 200  184532B  3.5ms  target=/js/sim.js  from=/js/main.js
2026-09-25T15:07:00.402Z  127.0.0.1  GET 200  15295B  2.1ms  target=/js/pilot.js  from=/js/main.js
2026-09-25T15:07:00.412Z  127.0.0.1  GET 200  12330B  1.8ms  target=/js/audio/graph.js  from=/js/audio.js
2026-09-25T15:07:00.413Z  127.0.0.1  GET 200  14258B  1.5ms  target=/js/audio/voices.js  from=/js/audio.js
2026-09-25T15:07:00.413Z  127.0.0.1  GET 200  8325B  2.0ms  target=/js/audio/ambience.js  from=/js/audio.js
2026-09-25T15:07:00.413Z  127.0.0.1  GET 200  1912B  1.8ms  target=/js/crew/hooks.js  from=/js/addon-loader.js
2026-09-25T15:07:00.413Z  127.0.0.1  GET 200  15180B  2.4ms  target=/js/audio/cues.js  from=/js/audio.js
2026-09-25T15:07:00.414Z  127.0.0.1  GET 200  6493B  2.0ms  target=/js/scale.js  from=/js/bodies.js
2026-09-25T15:07:00.420Z  127.0.0.1  GET 200  11573B  1.5ms  target=/js/archetypes.js  from=/js/bodies.js
2026-09-25T15:07:00.421Z  127.0.0.1  GET 200  25582B  1.6ms  target=/js/genome/spacer.js  from=/js/crew/deckmind.js
2026-09-25T15:07:00.421Z  127.0.0.1  GET 200  28156B  2.2ms  target=/js/crew/deckgraph.js  from=/js/crew/deckmind.js
2026-09-25T15:07:00.421Z  127.0.0.1  GET 200  20915B  2.5ms  target=/js/materials.js  from=/js/bodies.js
2026-09-25T15:07:00.421Z  127.0.0.1  GET 200  14168B  2.5ms  target=/js/genome/behavior-graph.js  from=/js/crew/deckmind.js
2026-09-25T15:07:00.427Z  127.0.0.1  GET 200  29275B  1.6ms  target=/js/family.js  from=/js/crew/deckmind.js
2026-09-25T15:07:00.429Z  127.0.0.1  GET 200  5981B  2.9ms  target=/js/crew/bonds.js  from=/js/crew/deckmind.js
2026-09-25T15:07:00.428Z  127.0.0.1  GET 200  28463B  2.3ms  target=/js/npc/captain.js  from=/js/crew/deckmind.js
2026-09-25T15:07:00.428Z  127.0.0.1  GET 200  7489B  1.6ms  target=/js/crew/hull.js  from=/js/crew/deckmind.js
2026-09-25T15:07:00.428Z  127.0.0.1  GET 200  26734B  3.3ms  target=/js/npc/cradle.js  from=/js/crew/deckmind.js
2026-09-25T15:07:00.428Z  127.0.0.1  GET 200  16807B  2.3ms  target=/js/crew.js  from=/js/crew/deckmind.js
2026-09-25T15:07:00.433Z  127.0.0.1  GET 200  7389B  2.7ms  target=/js/crew/journal.js  from=/js/crew/deckmind.js
2026-09-25T15:07:00.433Z  127.0.0.1  GET 200  954B  2.5ms  target=/js/version.js  from=/js/hud.js
2026-09-25T15:07:00.434Z  127.0.0.1  GET 200  20474B  3.2ms  target=/js/crew/romance.js  from=/js/crew/deckmind.js
2026-09-25T15:07:00.434Z  127.0.0.1  GET 200  20507B  3.8ms  target=/js/crew/deckacts.js  from=/js/crew/deckmind.js
2026-09-25T15:07:00.434Z  127.0.0.1  GET 200  12967B  2.3ms  target=/js/generate.js  from=/js/hud.js
2026-09-25T15:07:00.434Z  127.0.0.1  GET 200  11098B  4.2ms  target=/js/crew/learn.js  from=/js/crew/deckmind.js
2026-09-25T15:07:00.437Z  127.0.0.1  GET 200  18749B  1.7ms  target=/js/console/console.js  from=/js/hud.js
2026-09-25T15:07:00.437Z  127.0.0.1  GET 200  6423B  2.6ms  target=/js/input.js  from=/js/hud.js
2026-09-25T15:07:00.438Z  127.0.0.1  GET 200  5675B  2.3ms  target=/js/secbadge.js  from=/js/hud.js
2026-09-25T15:07:00.439Z  127.0.0.1  GET 200  23566B  3.1ms  target=/js/stationdeck.js  from=/js/hud.js
2026-09-25T15:07:00.439Z  127.0.0.1  GET 200  10170B  1.6ms  target=/js/ui/fullscreen.js  from=/js/hud.js
2026-09-25T15:07:00.439Z  127.0.0.1  GET 200  6796B  2.5ms  target=/js/ui/dockboot.js  from=/js/hud.js
2026-09-25T15:07:00.442Z  127.0.0.1  GET 200  15964B  2.7ms  target=/js/recorder.js  from=/js/hud.js
