2026-09-26T00:12:38.246Z  SERVER START v0.1 run=20260926-001238-78c1 port=8080 pid=30913 root=/data/data/com.termux/files/home/LivingGalaxy-AdAstrum-0.3.57
2026-09-26T00:12:48.810Z  127.0.0.1  GET 200  30823B  4.0ms  target=/  from=-
2026-09-26T00:12:48.877Z  127.0.0.1  GET 200  92283B  1.4ms  target=/css/style.css  from=/
2026-09-26T00:12:48.877Z  127.0.0.1  GET 200  26740B  0.9ms  target=/css/glass.css  from=/
2026-09-26T00:12:48.877Z  127.0.0.1  GET 200  14982B  0.8ms  target=/css/console.css  from=/
2026-09-26T00:12:48.879Z  127.0.0.1  GET 200  5370B  0.7ms  target=/css/interior.css  from=/
2026-09-26T00:12:48.879Z  127.0.0.1  GET 200  12805B  1.0ms  target=/css/comms.css  from=/
2026-09-26T00:12:48.879Z  127.0.0.1  GET 200  2515B  0.7ms  target=/js/main.js  from=/
2026-09-26T00:12:48.886Z  127.0.0.1  GET 200  5166B  0.4ms  target=/js/store.js  from=/js/main.js
2026-09-26T00:12:48.886Z  127.0.0.1  GET 200  16313B  0.4ms  target=/js/bodies.js  from=/js/main.js
2026-09-26T00:12:48.887Z  127.0.0.1  GET 200  3868B  1.1ms  target=/js/audio.js  from=/js/main.js
2026-09-26T00:12:48.888Z  127.0.0.1  GET 200  63880B  1.0ms  target=/js/hud.js  from=/js/main.js
2026-09-26T00:12:48.889Z  127.0.0.1  GET 200  6044B  0.5ms  target=/js/boot.js  from=/js/main.js
2026-09-26T00:12:48.890Z  127.0.0.1  GET 200  1225B  1.7ms  target=/js/addon-loader.js  from=/js/main.js
2026-09-26T00:12:48.890Z  127.0.0.1  GET 200  23478B  2.7ms  target=/js/crew/deckmind.js  from=/js/main.js
2026-09-26T00:12:48.891Z  127.0.0.1  GET 200  138390B  3.7ms  target=/js/engine.js  from=/js/main.js
2026-09-26T00:12:48.896Z  127.0.0.1  GET 200  25669B  0.8ms  target=/js/account.js  from=/js/main.js
2026-09-26T00:12:48.901Z  127.0.0.1  GET 200  15295B  2.6ms  target=/js/pilot.js  from=/js/main.js
2026-09-26T00:12:48.900Z  127.0.0.1  GET 200  12330B  1.1ms  target=/js/audio/graph.js  from=/js/audio.js
2026-09-26T00:12:48.900Z  127.0.0.1  GET 200  20016B  4.5ms  target=/js/company.js  from=/js/main.js
2026-09-26T00:12:48.899Z  127.0.0.1  GET 200  188825B  2.6ms  target=/js/sim.js  from=/js/main.js
